ts,serialNo,home,batteryVoltageMilliV,insideTemperatureCentiC,humidityMilliPerc
2018-12-29,VA2048854528,174376,3096.7866,1921.2683,676.21344
2018-12-30,VA2048854528,174376,3094.3853,1750.7162,695.7905
2018-12-31,VA2048854528,174376,3090.3186,1999.4799,680.6289999999998
2019-01-01,VA2048854528,174376,3087.5264,2030.269,641.7632
2019-01-02,VA2048854528,174376,3083.4805,1975.3384,655.568
2019-01-03,VA2048854528,174376,3079.5906,1996.0975,618.3315
2019-01-04,VA2048854528,174376,3075.6116,1928.3884,602.4601
2019-01-05,VA2048854528,174376,3071.3716,1978.2594,604.4812599999998
2019-01-06,VA2048854528,174376,3068.9968,1984.483,619.3715
2019-01-07,VA2048854528,174376,3066.8552,1984.4309,636.5921
2019-01-08,VA2048854528,174376,3062.6042,1986.0906,620.16315
2019-01-09,VA2048854528,174376,3059.988,1904.5765,587.8589
2019-01-10,VA2048854528,174376,3055.827,1889.1284,583.49554
2019-01-11,VA2048854528,174376,3051.1528,1950.5612,585.67224
2019-01-12,VA2048854528,174376,3047.7234,2044.3239,600.3333
2019-01-13,VA2048854528,174376,3046.1218,1961.7565,632.413
2019-01-14,VA2048854528,174376,3043.1108,1962.6868,613.3608
2019-01-15,VA2048854528,174376,3039.5579,2012.6143,585.3086
2019-01-16,VA2048854528,174376,3036.8918,1962.6033,608.43604
2019-01-17,VA2048854528,174376,3032.0857,1940.2396,592.06805
2019-01-18,VA2048854528,174376,3029.3425,1847.9303,577.3242
2019-01-19,VA2048854528,174376,3025.8796,2008.009,560.88855
2019-01-20,VA2048854528,174376,3024.6855,2037.9009,574.2832599999998
2019-01-21,VA2048854528,174376,3024.3052,1942.6836,585.7684
2019-01-22,VA2048854528,174376,3023.2140000000004,1883.8882,577.53357
2019-01-23,VA2048854528,174376,3021.7852,1784.2786,537.7931
2019-01-24,VA2048854528,174376,3019.0178,1791.1272,525.1745599999998
2019-01-25,VA2048854528,174376,3016.5637,1782.755,539.82214
2019-01-26,VA2048854528,174376,3009.2056,2058.0127,542.698
2019-01-27,VA2048854528,174376,3005.6082,2132.3696,547.00806
2019-01-28,VA2048854528,174376,3003.438,1927.1365,540.0158700000002
2019-01-29,VA2048854528,174376,3000.8867,1975.6978,522.0907
2019-01-30,VA2048854528,174376,2998.3123,1867.1713,542.76245
2019-01-31,VA2048854528,174376,2995.5273,1909.6069,525.3383
2019-02-01,VA2048854528,174376,2994.046,1970.4325,580.2945
2019-02-02,VA2048854528,174376,2990.2434,1209.841,585.86365
2019-02-03,VA2048854528,174376,2972.3306,1174.6075,543.82794
2019-02-04,VA2048854528,174376,2966.432,1021.8357,583.2394400000002
2019-02-05,VA2048854528,174376,2968.2415,1022.477,609.74713
2019-02-06,VA2048854528,174376,2968.0305,1030.8877,629.5816
2019-02-07,VA2048854528,174376,2968.371,1030.2062,645.9382
2019-02-08,VA2048854528,174376,2967.9895,1023.54736,658.46313
2019-02-09,VA2048854528,174376,2967.7048,1029.1229,657.7951
2019-02-10,VA2048854528,174376,2955.3816,1016.5741,646.9444599999998
2019-02-11,VA2048854528,174376,2950.612,1018.65515,626.12933
2019-02-12,VA2048854528,174376,2950.9885,1024.7241,633.1322
2019-02-13,VA2048854528,174376,2953.6,1031.5636,659.7636
2019-02-14,VA2048854528,174376,2952.8765,1401.1713,630.4303
2019-02-15,VA2048854528,174376,2955.3315,2005.5168,588.89044
2019-02-16,VA2048854528,174376,2959.5068,2099.4036,638.67584
2019-02-17,VA2048854528,174376,2963.1436,2019.787,653.52313
2019-02-18,VA2048854528,174376,2963.7773,2028.1979,652.65015
2019-02-19,VA2048854528,174376,2962.6567,2039.1702,611.74927
2019-02-20,VA2048854528,174376,2962.3198,2054.7827,602.3851
2019-02-21,VA2048854528,174376,2960.9578,2053.5142,604.5493
2019-02-22,VA2048854528,174376,2949.0723,2081.3745,612.5189
2019-02-23,VA2048854528,174376,2941.9412,1990.9117,651.2353
2019-02-24,VA2048854528,174376,2936.034,2124.6497,617.72107
2019-02-25,VA2048854528,174376,2929.3557,2077.6409,616.2007
2019-02-26,VA2048854528,174376,2926.087,2113.8628,597.40137
2019-02-27,VA2048854528,174376,2920.2664,2106.861,612.38995
2019-02-28,VA2048854528,174376,2916.4417,2095.3994,601.6607700000002
2019-03-01,VA2048854528,174376,2910.3132,2076.5872,582.2064
